"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"88914e8f975cdbf1d3e8077facfb5e03","PV ll Mosiu.","55","5","11","29","0.64","0.06","1","2","0","0","1391","480","{""LastLight"":1,""SolarEclipse"":2,""Ж | y U h ※"":1,""вит | Phat_Cheeks57"":1}","{""Nuna"":3,""Swift"":3,""=Corn="":2,""Rob491"":3,""Theone"":4,""Tomato"":1,""Will b"":1,""fatkid"":2,""R E A P"":2,""=Oresto="":1,""D' Bearz"":1,""Ж | B3n"":1,""=M4ILBOX="":1,""DeathVice"":2,""Buttspoons"":2,""父 =Hodgy="":2,""PyrochemЖst"":1,""SolarEclipse"":2,""TheNutBender"":4,""=LordFarquaad="":2,""I_NoScoped_JFK"":1,""Ж | y U h ※"":2,""=InHAWKsicated="":3,""Ж︎ | =Klink="":2,""ﾒ Bobothemonk"":1,""=Gatrick Swayze="":2,""=Krombopulous_MYKL="":2,""=AngeloDeLaMorte_TV="":2}","1004","35","600","1000","{""M6 37mm [M8 Greyhound]"":2,""37MM CANNON [Stuart M5A1]"":4,""COAXIAL M1919 [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":39,""COAXIAL M1919 [Sherman M4A3E2(76)]"":9}","{""PANZERSCHRECK"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198142719018","=LordFarquaad=","61","85","0.72","3","0.71","1","8","0","4","1","158","18","{""Templeton"":2,""PV || Evil"":3,""PV || Hito"":3,""PV || Supa"":2,""PV || K4CZY"":2,""PV || Kozak"":1,""PV || LeWyy"":1,""PV || Smola"":5,""PV ll Mosiu."":2,""PV || Hertan"":1,""PV || Jemiel"":1,""PV || Leasst"":2,""PV || cinekk"":1,""PV || czol0o"":4,""PV || dommin"":4,""PV || endzoj"":5,""PV ||| DZERY"":4,""PV || J4skyyy"":2,""PV || Snuffik"":4,""PV || _D1L3R_"":8,""PV || Artutleg"":13,""PV || Vipperino"":4,""PV || WizzWookie"":1,""PV || kuba.dziki"":5,""PV || Angliczanin"":1,""PV || KamilCzytoty"":1,""PV || Sex Defender"":1,""PV || KnightRider69"":2}","{""Templeton"":2,""PV || Evil"":4,""PV || Hito"":2,""PV || K4CZY"":1,""PV || LeWyy"":3,""PV || Smola"":7,""PV || Jemiel"":1,""PV || Woyteq"":1,""PV || czol0o"":4,""PV || dommin"":1,""PV || endzoj"":2,""PV ||| DZERY"":4,""PV || J4skyyy"":1,""PV || Snuffik"":5,""PV || _D1L3R_"":4,""PV || tobexor"":3,""PV || Misheses"":1,""PV || Veni Vici"":1,""PV || Vipperino"":6,""PV || Pietras_PL"":2,""PV || WizzWookie"":2,""PV || kuba.dziki"":3,""PV || KamilCzytoty"":1}","467","1615","900","120","{""STG44"":4,""UNKNOWN"":1,""GEWEHR 43"":55,""M43 STIELHANDGRANATE"":1}","{""BAZOOKA"":2,""SATCHEL"":1,""UNKNOWN"":1,""M1 GARAND"":53,""M1918A2 BAR"":1,""MK2 GRENADE"":1,""BROWNING M1919"":3,""M97 TRENCH GUN"":5,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":12,""37MM CANNON [Stuart M5A1]"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198043221756","D' Bearz","33","61","0.54","5","0.39","0.71","8","1","2","1","303","18","{""Templeton"":2,""PV || Andy"":5,""PV || Evil"":1,""PV || Hito"":2,""PV || K4CZY"":1,""PV ll Mosiu."":1,""PV || Leasst"":3,""PV || dommin"":2,""PV ||| DZERY"":2,""PV || Snuffik"":1,""PV || _D1L3R_"":2,""PV || Artutleg"":4,""PV || Misheses"":8,""PV || Alukardus"":3,""PV || Pietras_PL"":2,""PV || WizzWookie"":2,""PV || kuba.dziki"":1,""PV || Angliczanin"":12,""PV || KamilCzytoty"":1,""PV || Sex Defender"":1,""PV || KnightRider69"":5}","{""PV || Andy"":9,""PV || Evil"":1,""PV || Hito"":1,""PV || Kozak"":1,""PV || Jemiel"":1,""PV || czol0o"":1,""PV || dommin"":1,""PV || tobexor"":1,""PV || Misheses"":3,""PV || Alukardus"":1,""PV || Vipperino"":1,""PV || Pietras_PL"":1,""PV || kuba.dziki"":2,""PV || Angliczanin"":7,""PV || KnightRider69"":2}","260","655","1060","120","{""GEWEHR 43"":30,""M43 STIELHANDGRANATE"":3}","{""BAZOOKA"":2,""M1 GARAND"":44,""M1 CARBINE"":2,""MK2 GRENADE"":2,""M3 GREASE GUN"":2,""BROWNING M1919"":3,""155MM HOWITZER [M114]"":4,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198076217035","R E A P","39","55","0.71","4","0.46","0.64","11","1","0","0","327","19","{""Templeton"":1,""PV || Andy"":1,""PV || Hito"":1,""PV || VIVI"":8,""PV || karl"":1,""PV || K4CZY"":1,""PV || LeWyy"":1,""PV || Wodzu"":1,""PV ll Mosiu."":2,""PV || Leasst"":2,""PV || czol0o"":1,""PV || dommin"":2,""PV || @sleepy"":1,""PV || BCaster"":1,""PV || Snuffik"":1,""PV || tobexor"":8,""PV || Artutleg"":4,""PV || Misheses"":2,""PV || Veni Vici"":1,""PV || Vipperino"":1,""PV || Pietras_PL"":1,""PV || WizzWookie"":1,""PV || Angliczanin"":2,""PV || Diamond[PL]"":1,""PV || Roger Roger"":7,""PV || KnightRider69"":2}","{""Templeton"":4,""PV || Andy"":1,""PV || Evil"":2,""PV || VIVI"":4,""PV || karl"":1,""henning336"":1,""PV || LeWyy"":2,""PV || czol0o"":1,""PV || dommin"":1,""PV || BCaster"":1,""PV || _D1L3R_"":1,""PV || tobexor"":3,""PV || Misheses"":1,""PV || rafixes99"":4,""PV || Diamond[PL]"":4,""PV || Roger Roger"":2,""PV || KamilCzytoty"":6}","320","680","1080","20","{""MP40"":1,""STG44"":7,""GEWEHR 43"":19,""KARABINER 98K"":9,""PANZERSCHRECK"":3}","{""M1 GARAND"":29,""M1 CARBINE"":7,""M3 GREASE GUN"":1,""BROWNING M1919"":3,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":8,""155MM HOWITZER [M114]"":4,""M6 37mm [M8 Greyhound]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561197994348618","PV || B(L)MBA-87-PL","4","6","0.67","2","0.05","0.07","3","0","0","0","2253","44","{""Will b"":2,""Vomit Coffin"":1,""Robert Lewandowski"":3}","{""Ж | B3n"":1,""Vomit Coffin"":1,""=Krombopulous_MYKL="":1,""The Dankest of Ducks"":1}","31","262","1680","0","{""M1 GARAND"":4}","{""STG44"":1,""STRAFING RUN"":2,""150MM HOWITZER [sFH 18]"":3}"
"76561199110810825","PV || J4skyyy","40","60","0.67","3","0.47","0.7","7","1","0","0","282","22","{""Nuna"":8,""Theone"":3,""Ж exel"":5,""Ж gibbs"":11,""〢BuИk"":1,""=M4ILBOX="":1,""DeathVice"":3,""PyrochemЖst"":5,""TheNutBender"":4,""=LordFarquaad="":1,""I_NoScoped_JFK"":7,""Ж︎ | =Klink="":6,""=Champion Sounds="":1,""вит |Frosty_55"":1,""Robert Lewandowski"":1,""=Krombopulous_MYKL="":1,""вит | Phat_Cheeks57"":1}","{""Nuna"":4,""Swift"":1,""Theone"":2,""Ж exel"":4,""Ж gibbs"":2,""Ж | B3n"":1,""〢BuИk"":1,""=Krusader="":3,""PyrochemЖst"":1,""TheNutBender"":3,""Vomit Coffin"":1,""=LordFarquaad="":2,""I_NoScoped_JFK"":4,""Ж︎ | =Klink="":1,""=Champion Sounds="":1,""вит |Frosty_55"":4,""=Krombopulous_MYKL="":2,""The Dankest of Ducks"":1,""вит | Phat_Cheeks57"":1,""Ξ вит | Comrade Grimm"":1}","320","985","280","960","{""M1 GARAND"":38,""MK2 GRENADE"":2}","{""MG42"":4,""MP40"":2,""STG44"":12,""FG42 x4"":5,""GEWEHR 43"":32,""KARABINER 98K"":4,""150MM HOWITZER [sFH 18]"":1}"
"76561198886112222","PV || Artutleg","214","0","214","214","2.51","0","0","3","0","0","0","9999","{}","{""Nuna"":1,""Swift"":11,""Theone"":5,""Tomato"":3,""fatkid"":14,""=Caono="":1,""=Nerdy="":1,""R E A P"":4,""Taylorr"":1,""Ж exel"":1,""=Oresto="":2,""D' Bearz"":4,""ULFBERHT"":4,""Ж gibbs"":2,""Ж | B3n"":17,""〢BuИk"":10,""=M4ILBOX="":1,""DeathVice"":2,""LastLight"":3,""MrKravs33"":3,""=Krusader="":4,""MS | J-walk-"":3,""PyrochemЖst"":2,""SolarEclipse"":1,""TheNutBender"":9,""Vomit Coffin"":12,""=DriedUpЖBoi="":9,""=LordFarquaad="":13,""I_NoScoped_JFK"":1,""=InHAWKsicated="":9,""Ж︎ | =Klink="":5,""ﾒ Bobothemonk"":7,""=Gatrick Swayze="":3,""BOTИ | Archytek"":9,""=Champion Sounds="":8,""вит |Frosty_55"":1,""=Krombopulous_MYKL="":1,""=AngeloDeLaMorte_TV="":10,""The Dankest of Ducks"":13,""вит | Phat_Cheeks57"":1,""Ξ вит | Comrade Grimm"":3}","1846","0","1780","0","{""UNKNOWN"":2,""155MM HOWITZER [M114]"":212}","{}"
"76561198074464094","PV || karl","32","38","0.84","4","0.38","0.45","4","0","0","0","515","27","{""Rob491"":2,""=Caono="":6,""R E A P"":1,""Taylorr"":1,""Ж exel"":4,""Ж gibbs"":5,""TheNutBender"":7,""Evil Santa 28"":1,""I_NoScoped_JFK"":3,""Ж | y U h ※"":1,""Ж︎ | =Klink="":3,""=Krombopulous_MYKL="":2,""вит | Phat_Cheeks57"":2}","{""Nuna"":2,""Rob491"":1,""Theone"":1,""=Caono="":3,""R E A P"":1,""Taylorr"":2,""Ж exel"":3,""Ж gibbs"":7,""=M4ILBOX="":2,""DeathVice"":1,""Evil Santa 28"":1,""I_NoScoped_JFK"":1,""Ж︎ | =Klink="":2,""=Krombopulous_MYKL="":4,""вит | Phat_Cheeks57"":1}","234","836","180","1200","{""M1 GARAND"":32}","{""MP40"":3,""STG44"":1,""FG42 x4"":4,""GEWEHR 43"":23,""KARABINER 98K"":3,""M43 STIELHANDGRANATE"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1}"
"76561198021588903","PV || K4CZY","57","70","0.81","9","0.67","0.82","5","2","1","1","227","14","{""Nuna"":14,""Swift"":1,""Theone"":3,""Tomato"":1,""Taylorr"":1,""Ж exel"":3,""Ж gibbs"":8,""〢BuИk"":1,""=M4ILBOX="":1,""DeathVice"":2,""PyrochemЖst"":1,""TheNutBender"":9,""Evil Santa 28"":1,""=LordFarquaad="":1,""I_NoScoped_JFK"":5,""Ж︎ | =Klink="":10,""вит |Frosty_55"":2,""Robert Lewandowski"":4,""The Dankest of Ducks"":1,""вит | Phat_Cheeks57"":1}","{""Nuna"":4,""Tomato"":1,""fatkid"":1,""R E A P"":1,""Ж exel"":3,""D' Bearz"":1,""Ж gibbs"":1,""〢BuИk"":1,""=M4ILBOX="":1,""PyrochemЖst"":4,""TheNutBender"":3,""Vomit Coffin"":2,""Evil Santa 28"":4,""=LordFarquaad="":2,""I_NoScoped_JFK"":2,""Ж︎ | =Klink="":9,""ﾒ Bobothemonk"":1,""=Champion Sounds="":3,""вит |Frosty_55"":2,""=Krombopulous_MYKL="":3,""=AngeloDeLaMorte_TV="":1,""The Dankest of Ducks"":2,""вит | Phat_Cheeks57"":5}","516","225","100","980","{""M1 GARAND"":49,""M2 AP MINE"":1,""MK2 GRENADE"":1,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":5}","{""MG42"":3,""STG44"":17,""FG42 x4"":6,""GEWEHR 43"":36,""KARABINER 98K"":3,""150MM HOWITZER [sFH 18]"":4,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1}"
"76561198833730700","PV || Snuffik","78","80","0.97","6","0.91","0.94","9","1","6","2","161","14","{""Nuna"":10,""Rob491"":4,""Theone"":6,""Tomato"":1,""fatkid"":2,""Ж exel"":6,""=Oresto="":1,""Ж gibbs"":1,""Ж | B3n"":1,""DeathVice"":2,""LastLight"":1,""PyrochemЖst"":1,""TheNutBender"":5,""Vomit Coffin"":3,""=LordFarquaad="":5,""I_NoScoped_JFK"":7,""Ж | y U h ※"":3,""Ж︎ | =Klink="":4,""=Champion Sounds="":1,""вит |Frosty_55"":4,""Robert Lewandowski"":9,""=Krombopulous_MYKL="":2,""=AngeloDeLaMorte_TV="":1}","{""Nuna"":1,""Swift"":2,""Rob491"":1,""Theone"":5,""R E A P"":1,""Ж exel"":2,""D' Bearz"":1,""Ж gibbs"":4,""Ж | B3n"":2,""〢BuИk"":6,""MrKravs33"":1,""=Krusader="":1,""PyrochemЖst"":9,""SolarEclipse"":1,""TheNutBender"":3,""Vomit Coffin"":6,""=LordFarquaad="":4,""I_NoScoped_JFK"":1,""Ж︎ | =Klink="":7,""BOTИ | Archytek"":1,""=Champion Sounds="":3,""вит |Frosty_55"":4,""=Krombopulous_MYKL="":5,""=AngeloDeLaMorte_TV="":5,""The Dankest of Ducks"":2}","586","174","160","960","{""M1 GARAND"":78}","{""MG42"":4,""STG44"":17,""SATCHEL"":1,""GEWEHR 43"":32,""KARABINER 98K"":7,""PANZERSCHRECK"":1,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":9,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":1}"
"76561198185197299","PV || Smola","35","60","0.58","7","0.41","0.7","6","1","3","1","286","19","{""Nuna"":1,""Swift"":2,""=Corn="":1,""Theone"":1,""Tomato"":1,""fatkid"":1,""Ж | B3n"":1,""〢BuИk"":4,""LastLight"":2,""PyrochemЖst"":1,""Vomit Coffin"":5,""=DriedUpЖBoi="":1,""=LordFarquaad="":7,""Ж | y U h ※"":3,""=InHAWKsicated="":1,""Ж︎ | =Klink="":1,""ﾒ Bobothemonk"":1,""Robert Lewandowski"":17,""=AngeloDeLaMorte_TV="":1,""The Dankest of Ducks"":8}","{""Nuna"":1,""Swift"":2,""Theone"":1,""fatkid"":2,""=Caono="":1,""Ж | B3n"":2,""〢BuИk"":1,""DeathVice"":2,""TheNutBender"":1,""Vomit Coffin"":4,""=LordFarquaad="":5,""I_NoScoped_JFK"":1,""=InHAWKsicated="":1,""Ж︎ | =Klink="":1,""=Champion Sounds="":2,""=AngeloDeLaMorte_TV="":3,""The Dankest of Ducks"":5}","247","1555","380","880","{""M1 GARAND"":34,""MK2 GRENADE"":1}","{""MP40"":1,""STG44"":14,""SATCHEL"":1,""GEWEHR 43"":15,""KARABINER 98K"":2,""M43 STIELHANDGRANATE"":3,""150MM HOWITZER [sFH 18]"":17,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561199140304442","PV || KnightRider69","60","66","0.91","7","0.7","0.77","8","0","0","0","222","19","{""=Corn="":1,""Tomato"":3,""fatkid"":3,""=Nerdy="":6,""Ж exel"":1,""=Oresto="":9,""D' Bearz"":2,""Ж | B3n"":2,""MrKravs33"":1,""=Krusader="":2,""MS | J-walk-"":13,""SolarEclipse"":1,""TheNutBender"":1,""Evil Santa 28"":1,""I_NoScoped_JFK"":1,""Ж | y U h ※"":2,""=InHAWKsicated="":3,""Ж︎ | =Klink="":1,""ﾒ Bobothemonk"":5,""=Gatrick Swayze="":1,""=Champion Sounds="":1,""Robert Lewandowski"":6}","{""Swift"":2,""=Corn="":1,""Theone"":1,""=Nerdy="":2,""R E A P"":2,""Ж exel"":1,""=Oresto="":2,""D' Bearz"":5,""Ж | B3n"":1,""MrKravs33"":3,""=Krusader="":4,""MS | J-walk-"":7,""TheNutBender"":1,""Vomit Coffin"":2,""=LordFarquaad="":2,""=InHAWKsicated="":3,""ﾒ Bobothemonk"":10,""=Gatrick Swayze="":4,""BOTИ | Archytek"":6,""вит |Frosty_55"":1}","490","275","240","960","{""BAZOOKA"":1,""M1 GARAND"":59}","{""MG42"":11,""MP40"":2,""STG44"":4,""FG42 x4"":13,""GEWEHR 43"":23,""KARABINER 98K"":1,""150MM HOWITZER [sFH 18]"":6,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2}"
"76561198111479386","PV || Wzburzony","24","13","1.85","7","0.28","0.15","3","0","0","0","1518","35","{""Nuna"":1,""=Corn="":1,""Tomato"":1,""=Caono="":1,""LastLight"":1,""MS | J-walk-"":3,""SolarEclipse"":1,""Vomit Coffin"":1,""Ж | y U h ※"":1,""=Champion Sounds="":1,""вит | Phat_Cheeks57"":1}","{""Nuna"":1,""Rob491"":1,""Tomato"":2,""=Caono="":2,""=Oresto="":2,""〢BuИk"":1,""=M4ILBOX="":1,""DeathVice"":1,""LastLight"":1,""Buttspoons"":1,""SolarEclipse"":1,""=InHAWKsicated="":2,""Ж︎ | =Klink="":1,""=Gatrick Swayze="":2,""BOTИ | Archytek"":1,""=Champion Sounds="":1,""=AngeloDeLaMorte_TV="":1,""The Dankest of Ducks"":1,""Ξ вит | Comrade Grimm"":1}","606","330","760","760","{""M1 GARAND"":2,""M3 GREASE GUN"":1,""M6 37mm [M8 Greyhound]"":2,""COAXIAL M1919 [M8 Greyhound]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":14,""COAXIAL M1919 [Sherman M4A3E2(76)]"":4}","{""MP40"":1,""FG42 x4"":3,""GEWEHR 43"":4,""PANZERSCHRECK"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198367851099","Robert Lewandowski","307","0","307","307","3.6","0","0","5","0","0","0","9999","{}","{""PV || LJT"":2,""PV || Evil"":16,""PV || Hito"":32,""PV || Supa"":1,""PV || K4CZY"":4,""PV || Kozak"":2,""PV || LeWyy"":2,""PV || Smola"":17,""PV || Hertan"":1,""PV || Jemiel"":6,""PV || Woyteq"":1,""PV || cinekk"":1,""PV || czol0o"":25,""PV || dommin"":3,""PV || endzoj"":7,""PV ||| DZERY"":34,""PV || @sleepy"":1,""PV || BCaster"":2,""PV || J4skyyy"":1,""PV || Snuffik"":9,""PV || _D1L3R_"":33,""PV || tobexor"":3,""PV || Misheses"":3,""PV || Veni Vici"":6,""PV || Vipperino"":34,""PV || Pietras_PL"":10,""PV || WizzWookie"":7,""PV || kuba.dziki"":17,""PV || Angliczanin"":3,""PV || KamilCzytoty"":14,""PV || Sex Defender"":1,""PV || B(L)MBA-87-PL"":3,""PV || KnightRider69"":6}","2414","0","1780","0","{""UNKNOWN"":1,""M2 AP MINE"":1,""150MM HOWITZER [sFH 18]"":305}","{}"
"76561199145763509","BOTИ | Archytek","25","42","0.6","3","0.29","0.49","9","0","4","1","427","17","{""Templeton"":1,""PV || Andy"":2,""PV || Evil"":4,""PV || Hito"":2,""PV || LeWyy"":1,""PV || Leasst"":3,""PV || Snuffik"":1,""PV || tobexor"":1,""PV || Artutleg"":9,""PV || Misheses"":4,""PV || Wzburzony"":1,""PV || Pietras_PL"":1,""PV || Angliczanin"":4,""PV || KamilCzytoty"":1,""PV || Sex Defender"":1,""PV || KnightRider69"":6}","{""PV || LJT"":2,""PV || Andy"":4,""PV || Evil"":1,""PV || Hito"":2,""PV || LeWyy"":1,""PV || czol0o"":1,""PV || dommin"":1,""PV || _D1L3R_"":1,""PV || Misheses"":1,""PV || Alukardus"":1,""PV || Veni Vici"":4,""PV || Vipperino"":1,""PV || Pietras_PL"":1,""PV || Angliczanin"":2,""PV || Błaziakson"":1,""PV || KamilCzytoty"":1}","290","283","1080","80","{""MP40"":11,""STG44"":4,""KARABINER 98K"":7,""M43 STIELHANDGRANATE"":3}","{""BAZOOKA"":2,""SATCHEL"":1,""UNKNOWN"":1,""M1 GARAND"":21,""M1 CARBINE"":1,""M1918A2 BAR"":2,""BROWNING M1919"":3,""155MM HOWITZER [M114]"":9,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198006332602","=Corn=","12","8","1.5","4","0.14","0.09","2","1","0","0","1990","7","{""PV ll Mosiu."":2,""PV || dommin"":1,""PV || Alukardus"":1,""PV || Diamond[PL]"":1,""PV || KamilCzytoty"":1,""PV || Sex Defender"":1,""PV || KnightRider69"":1}","{""Templeton"":1,""PV || Supa"":1,""PV || LeWyy"":1,""PV || Smola"":1,""PV || Misheses"":1,""PV || Vipperino"":2,""PV || Wzburzony"":1,""PV || Błaziakson"":1,""PV || Diamond[PL]"":1,""PV || KamilCzytoty"":1,""PV || KnightRider69"":1}","878","155","1480","60","{""MP40"":4,""WALTHER P38"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":7}","{""M1 GARAND"":5,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198000116689","〢BuИk","30","89","0.34","4","0.35","1.04","19","0","1","1","217","19","{""PV || Evil"":7,""PV || Hito"":2,""PV || K4CZY"":1,""PV || Kozak"":1,""PV || LeWyy"":1,""PV || Smola"":1,""PV || Hertan"":2,""PV || Jemiel"":3,""PV || Leasst"":4,""PV || Woyteq"":1,""PV || cinekk"":1,""PV || czol0o"":1,""PV || dommin"":1,""PV || endzoj"":4,""PV ||| DZERY"":2,""PV || BCaster"":3,""PV || J4skyyy"":1,""PV || Snuffik"":6,""PV || _D1L3R_"":7,""PV || Artutleg"":10,""PV || Misheses"":2,""PV || Veni Vici"":2,""PV || Vipperino"":2,""PV || Wzburzony"":1,""PV || WizzWookie"":8,""PV || kuba.dziki"":6,""PV || Angliczanin"":1,""PV || KamilCzytoty"":4,""PV || Sex Defender"":4}","{""PV || Andy"":1,""PV || Evil"":2,""PV || Hito"":3,""PV || K4CZY"":1,""PV || LeWyy"":2,""PV || Smola"":4,""PV || Jemiel"":1,""PV || Woyteq"":2,""PV || czol0o"":1,""PV || dommin"":1,""PV || endzoj"":1,""PV ||| DZERY"":4,""PV || @sleepy"":1,""PV || BCaster"":1,""PV || J4skyyy"":1,""PV || Pietras_PL"":2,""PV || kuba.dziki"":1,""PV || Błaziakson"":1}","286","295","880","80","{""STG44"":11,""GEWEHR 43"":8,""KARABINER 98K"":9,""PANZERSCHRECK"":1,""M43 STIELHANDGRANATE"":1}","{""BAZOOKA"":1,""SATCHEL"":2,""M1 GARAND"":46,""BOMBING RUN"":1,""MK2 GRENADE"":5,""M3 GREASE GUN"":5,""BROWNING M1919"":6,""M97 TRENCH GUN"":4,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":10,""37MM CANNON [Stuart M5A1]"":2,""COAXIAL M1919 [Stuart M5A1]"":1,""75MM CANNON [Sherman M4A3(75)W]"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198009425294","PV || Kozak","10","13","0.77","8","0.12","0.15","10","1","0","0","2023","24","{""Swift"":1,""fatkid"":1,""D' Bearz"":1,""DeathVice"":2,""LastLight"":1,""Ж | y U h ※"":3,""ﾒ Bobothemonk"":1,""Robert Lewandowski"":2,""The Dankest of Ducks"":1}","{""Swift"":2,""Tomato"":1,""=Caono="":1,""=Oresto="":1,""〢BuИk"":1,""TheNutBender"":1,""Vomit Coffin"":1,""=LordFarquaad="":1,""вит | Phat_Cheeks57"":1}","675","265","480","1040","{""SATCHEL"":7,""M97 TRENCH GUN"":1,""HULL M1919 [Sherman M4A3(75)W]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1}","{""MG42"":2,""SATCHEL"":1,""GEWEHR 43"":3,""M43 STIELHANDGRANATE"":1,""150MM HOWITZER [sFH 18]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":4}"
"76561198093216347","PV || Andy","50","72","0.69","6","0.59","0.84","8","0","0","0","242","18","{""Nuna"":1,""Tomato"":1,""=Nerdy="":4,""R E A P"":1,""Ж exel"":1,""=Oresto="":16,""D' Bearz"":9,""Ж | B3n"":3,""〢BuИk"":1,""MrKravs33"":5,""=Krusader="":3,""MS | J-walk-"":11,""SolarEclipse"":1,""I_NoScoped_JFK"":1,""=InHAWKsicated="":2,""ﾒ Bobothemonk"":3,""=Gatrick Swayze="":2,""BOTИ | Archytek"":4,""=Champion Sounds="":1,""=AngeloDeLaMorte_TV="":1,""вит | Phat_Cheeks57"":1}","{""fatkid"":1,""=Nerdy="":5,""R E A P"":1,""=Oresto="":2,""D' Bearz"":5,""Ж | B3n"":5,""MrKravs33"":2,""=Krusader="":2,""MS | J-walk-"":10,""TheNutBender"":1,""I_NoScoped_JFK"":1,""=InHAWKsicated="":3,""ﾒ Bobothemonk"":5,""=Gatrick Swayze="":4,""BOTИ | Archytek"":2,""=AngeloDeLaMorte_TV="":1}","404","1235","200","960","{""M1 GARAND"":50}","{""MG42"":18,""MP40"":8,""STG44"":6,""S-MINE"":1,""FG42 x4"":11,""SATCHEL"":1,""GEWEHR 43"":22,""KARABINER 98K"":4,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561199441324147","MrKravs33","21","28","0.75","4","0.25","0.33","8","0","0","0","716","36","{""PV || Andy"":2,""PV || Evil"":2,""PV || Hito"":1,""PV || Supa"":1,""PV || VIVI"":1,""PV || Leasst"":2,""PV || Snuffik"":1,""PV || Artutleg"":3,""PV || Misheses"":3,""PV || Angliczanin"":7,""PV || Sex Defender"":2,""PV || KnightRider69"":3}","{""PV || Andy"":5,""PV || Evil"":1,""PV || Hito"":2,""PV || LeWyy"":1,""PV || czol0o"":1,""PV || Misheses"":3,""PV || Alukardus"":2,""PV || rafixes99"":1,""PV || kuba.dziki"":2,""PV || Angliczanin"":1,""PV || Sex Defender"":1,""PV || KnightRider69"":1}","175","715","1300","120","{""MG42"":1,""MP40"":3,""STG44"":5,""S-MINE"":1,""KARABINER 98K"":8,""PANZERSCHRECK"":3}","{""SATCHEL"":1,""M1 GARAND"":19,""M3 GREASE GUN"":1,""BROWNING M1919"":2,""M97 TRENCH GUN"":1,""155MM HOWITZER [M114]"":3,""75MM CANNON [Sherman M4A3(75)W]"":1}"
